ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,1.1,270,293,0,5,2,3,2,20.0,15,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,1.2,270,1357,0,5,2,3,2,20.0,15,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,2.1,149,800,123,10,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,2.2,149,971,123,10,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,3.1,544,-11,555,5,2,4,4,20.0,27,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,3.2,224,725,555,5,2,2,2,20.0,12,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,3.3,224,971,555,5,2,2,2,20.0,12,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,3.4,544,1387,555,5,2,4,4,20.0,27,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,4.1,162,-11,777,15,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,4.2,338,173,777,5,2,3,2,20.0,16,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,4.3,470,725,777,5,2,3,3,20.0,21,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,4.4,338,1409,777,5,2,3,2,20.0,16,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,4.5,162,1769,777,15,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,5.1,152,613,977,15,1,1,1,20.0,7,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,5.2,152,1155,977,15,1,1,1,20.0,7,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,6.1,570,173,1349,5,2,3,3,20.0,24,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,6.2,570,1177,1349,5,2,3,3,20.0,24,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,7.1,152,613,1721,15,1,1,1,20.0,7,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,7.2,152,1155,1721,15,1,1,1,20.0,7,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,8.1,162,-11,1921,15,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,8.2,338,173,1921,5,2,3,2,20.0,16,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,8.3,470,725,1921,5,2,3,3,20.0,21,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,8.4,338,1409,1921,5,2,3,2,20.0,16,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,8.5,162,1769,1921,15,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,9.1,544,-11,2143,5,2,4,4,20.0,27,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,9.2,224,725,2143,5,2,2,2,20.0,12,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,9.3,224,971,2143,5,2,2,2,20.0,12,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,9.4,544,1387,2143,5,2,4,4,20.0,27,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,10.1,149,800,2575,10,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,10.2,149,971,2575,10,1,1,1,20.0,6,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,11.1,270,293,2698,5,2,3,2,20.0,15,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.002_7.0_B_II_3_MGP10_ATS,1,X,162209.7433295462,0.512852833362901,0.674076854111686,,,97.60529628301,67.48929803124055,4918759.585999998,11.2,270,1357,2698,5,2,3,2,20.0,15,2.8575
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,1.1,270,293,0,5,1,2,2,20.0,13,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,1.2,270,1357,0,5,1,2,2,20.0,13,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,2.1,149,800,123,15,1,1,1,20.0,6,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,2.2,149,971,123,15,1,1,1,20.0,6,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,3.1,544,-11,555,5,2,3,3,20.0,23,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,3.2,224,725,555,5,1,2,1,20.0,10,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,3.3,224,971,555,5,1,2,1,20.0,10,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,3.4,544,1387,555,5,2,3,3,20.0,23,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,4.1,162,-11,777,15,1,1,1,20.0,6,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,4.2,338,173,777,5,1,2,2,20.0,14,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,4.3,470,725,777,10,2,2,2,20.0,18,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,4.4,338,1409,777,5,1,2,2,20.0,14,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,4.5,162,1769,777,15,1,1,1,20.0,6,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,5.1,152,613,977,15,1,1,1,20.0,7,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,5.2,152,1155,977,15,1,1,1,20.0,7,2.54
,P1 con ATS (Sin pandeo eje debil),P1_6_0.004_7.0_B_II_3_MGP10_ATS,1,X,160119.05192694624,0.639402749507476,0.710701568994087,,,71.55362053184555,62.195443740889765,4918759.585999998,6.1,570,173,1349,10,2,2,2,20.0,20,2.54
