ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,7.1,742,0,1236,5,2,3,3,20.0,28,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,7.2,742,1176,1236,5,2,3,3,20.0,28,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,8.1,162,0,1606,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,8.2,352,184,1606,5,2,3,2,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,8.3,126,616,1606,5,2,2,2,20.0,9,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,8.4,126,1176,1606,5,2,2,2,20.0,9,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,8.5,352,1382,1606,5,2,3,2,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,8.6,162,1756,1606,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,9.1,642,638,1747,5,2,3,3,20.0,26,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,10.1,162,0,1828,5,2,2,2,20.0,10,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,10.2,330,184,1828,5,2,3,3,20.0,18,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,10.3,330,1404,1828,5,2,3,3,20.0,18,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,10.4,162,1756,1828,5,2,2,2,20.0,10,2.8575
